feature,value,importance_type
numeric__average_adult_breed_weight_kg,0.28061514,random_forest_importance
numeric__weight_kg,0.24751485,random_forest_importance
numeric__weight_age_interaction,0.23736823,random_forest_importance
numeric__weight_to_expected_adult_ratio,0.10519346,random_forest_importance
numeric__visit_age_months,0.06210985,random_forest_importance
categorical__healthy_pet_diagnosis_Y,0.02455242,random_forest_importance
categorical__healthy_pet_diagnosis_N,0.01872827,random_forest_importance
categorical__gender_MN,0.00679837,random_forest_importance
categorical__gender_M,0.00623111,random_forest_importance
categorical__gender_FS,0.00452004,random_forest_importance
categorical__gender_F,0.00358469,random_forest_importance
categorical__preventive_care_visit_Y,0.00154438,random_forest_importance
categorical__preventive_care_visit_N,0.00123919,random_forest_importance
